trial_id,plot_id,row,column,replicate,block,treatment,genotype,yield_t_ha,protein_pct,moisture_pct
Wheat_2026_Field_A,P0101,1,1,1,B01,Control,G10,5.666,10.429,12.852
Wheat_2026_Field_A,P0102,1,2,1,B01,Standard N,G03,7.208,10.766,13.251
Wheat_2026_Field_A,P0103,1,3,1,B01,Control,G08,6.744,10.848,13.001
Wheat_2026_Field_A,P0104,1,4,1,B01,Standard N,G01,7.316,10.997,12.988
Wheat_2026_Field_A,P0105,1,5,1,B01,Control,G06,7.076,10.638,12.971
Wheat_2026_Field_A,P0106,1,6,1,B01,Standard N,G11,7.837,10.773,13.215
Wheat_2026_Field_A,P0107,1,7,1,B01,Control,G04,6.698,10.646,12.646
Wheat_2026_Field_A,P0108,1,8,1,B01,Standard N,G09,7.1,10.887,12.868
Wheat_2026_Field_A,P0109,1,9,2,B01,Low N,G03,7.324,10.485,12.833
Wheat_2026_Field_A,P0110,1,10,2,B01,High N,G08,7.184,10.79,12.574
Wheat_2026_Field_A,P0111,1,11,2,B01,Low N,G01,6.744,10.731,12.366
Wheat_2026_Field_A,P0112,1,12,2,B01,High N,G06,8.475,10.668,12.477
Wheat_2026_Field_A,P0113,1,13,2,B01,Low N,G11,5.762,10.735,12.184
Wheat_2026_Field_A,P0114,1,14,2,B01,High N,G04,7.495,10.791,12.47
Wheat_2026_Field_A,P0115,1,15,2,B01,Low N,G09,6.93,10.61,12.513
Wheat_2026_Field_A,P0116,1,16,2,B01,High N,G02,8.088,10.797,12.417
Wheat_2026_Field_A,P0117,1,17,3,B01,Standard N,G08,7.484,10.78,12.899
Wheat_2026_Field_A,P0118,1,18,3,B01,Control,G01,5.802,10.705,12.278
Wheat_2026_Field_A,P0119,1,19,3,B01,Standard N,G06,8.138,10.649,12.791
Wheat_2026_Field_A,P0120,1,20,3,B01,Control,G11,6.479,10.412,12.559
Wheat_2026_Field_A,P0121,1,21,3,B01,Standard N,G04,7.108,10.984,12.843
Wheat_2026_Field_A,P0122,1,22,3,B01,Control,G09,7.152,10.247,12.998
Wheat_2026_Field_A,P0123,1,23,3,B01,Standard N,G02,8.472,10.708,12.707
Wheat_2026_Field_A,P0124,1,24,3,B01,Control,G07,7.23,10.205,12.705
Wheat_2026_Field_A,P0201,2,1,1,B01,Low N,G01,6.423,10.477,12.658
Wheat_2026_Field_A,P0202,2,2,1,B01,High N,G06,8.407,10.95,12.956
Wheat_2026_Field_A,P0203,2,3,1,B01,Low N,G11,6.319,10.643,12.774
Wheat_2026_Field_A,P0204,2,4,1,B01,High N,G04,7.223,10.496,13.079
Wheat_2026_Field_A,P0205,2,5,1,B01,Low N,G09,6.519,10.553,12.769
Wheat_2026_Field_A,P0206,2,6,1,B01,High N,G02,8.543,10.772,12.788
Wheat_2026_Field_A,P0207,2,7,1,B01,Low N,G07,7.122,10.562,13.092
Wheat_2026_Field_A,P0208,2,8,1,B01,High N,G12,7.452,10.705,12.908
Wheat_2026_Field_A,P0209,2,9,2,B01,Standard N,G06,7.548,10.8,12.352
Wheat_2026_Field_A,P0210,2,10,2,B01,Control,G11,6.531,10.326,12.823
Wheat_2026_Field_A,P0211,2,11,2,B01,Standard N,G04,7.871,10.789,12.561
Wheat_2026_Field_A,P0212,2,12,2,B01,Control,G09,6.587,10.647,12.774
Wheat_2026_Field_A,P0213,2,13,2,B01,Standard N,G02,7.861,10.774,12.173
Wheat_2026_Field_A,P0214,2,14,2,B01,Control,G07,6.495,10.663,12.458
Wheat_2026_Field_A,P0215,2,15,2,B01,Standard N,G12,6.854,10.777,12.957
Wheat_2026_Field_A,P0216,2,16,2,B01,Control,G05,5.759,10.596,12.737
Wheat_2026_Field_A,P0217,2,17,3,B01,High N,G11,7.284,11.089,12.659
Wheat_2026_Field_A,P0218,2,18,3,B01,Low N,G04,6.478,10.592,12.78
Wheat_2026_Field_A,P0219,2,19,3,B01,High N,G09,7.103,10.601,12.247
Wheat_2026_Field_A,P0220,2,20,3,B01,Low N,G02,7.048,10.833,13.065
Wheat_2026_Field_A,P0221,2,21,3,B01,High N,G07,7.502,10.839,12.677
Wheat_2026_Field_A,P0222,2,22,3,B01,Low N,G12,6.464,11.109,12.734
Wheat_2026_Field_A,P0223,2,23,3,B01,High N,G05,8.031,10.696,12.92
Wheat_2026_Field_A,P0224,2,24,3,B01,Low N,G10,5.979,10.732,12.765
Wheat_2026_Field_A,P0301,3,1,1,B01,Standard N,G04,6.263,10.649,12.69
Wheat_2026_Field_A,P0302,3,2,1,B01,Control,G09,5.583,10.55,12.583
Wheat_2026_Field_A,P0303,3,3,1,B01,Standard N,G02,7.542,10.527,12.45
Wheat_2026_Field_A,P0304,3,4,1,B01,Control,G07,6.76,10.383,12.83
Wheat_2026_Field_A,P0305,3,5,1,B01,Standard N,G12,7.879,10.828,13.105
Wheat_2026_Field_A,P0306,3,6,1,B01,Control,G05,7.708,10.385,12.919
Wheat_2026_Field_A,P0307,3,7,1,B01,Standard N,G10,7.718,10.447,12.834
Wheat_2026_Field_A,P0308,3,8,1,B01,Control,G03,6.826,10.62,13.275
Wheat_2026_Field_A,P0309,3,9,2,B01,High N,G09,7.551,10.844,12.536
Wheat_2026_Field_A,P0310,3,10,2,B01,Low N,G02,6.966,10.463,12.542
Wheat_2026_Field_A,P0311,3,11,2,B01,High N,G07,7.759,10.95,12.598
Wheat_2026_Field_A,P0312,3,12,2,B01,Low N,G12,6.529,10.375,12.436
Wheat_2026_Field_A,P0313,3,13,2,B01,High N,G05,8.037,11.084,12.416
Wheat_2026_Field_A,P0314,3,14,2,B01,Low N,G10,6.2,10.75,13.065
Wheat_2026_Field_A,P0315,3,15,2,B01,High N,G03,6.74,10.708,12.632
Wheat_2026_Field_A,P0316,3,16,2,B01,Low N,G08,6.129,10.936,12.617
Wheat_2026_Field_A,P0317,3,17,3,B01,Control,G02,6.616,10.434,12.917
Wheat_2026_Field_A,P0318,3,18,3,B01,Standard N,G07,6.371,10.952,12.643
Wheat_2026_Field_A,P0319,3,19,3,B01,Control,G12,5.824,10.56,12.701
Wheat_2026_Field_A,P0320,3,20,3,B01,Standard N,G05,7.854,11.008,13.288
Wheat_2026_Field_A,P0321,3,21,3,B01,Control,G10,6.231,10.399,12.501
Wheat_2026_Field_A,P0322,3,22,3,B01,Standard N,G03,7.448,10.661,13.075
Wheat_2026_Field_A,P0323,3,23,3,B01,Control,G08,6.929,10.288,12.572
Wheat_2026_Field_A,P0324,3,24,3,B01,Standard N,G01,7.729,10.736,12.918
Wheat_2026_Field_A,P0401,4,1,1,B02,High N,G07,7.09,11.13,12.924
Wheat_2026_Field_A,P0402,4,2,1,B02,Low N,G12,5.99,10.628,12.612
Wheat_2026_Field_A,P0403,4,3,1,B02,High N,G05,8.092,11.02,13.005
Wheat_2026_Field_A,P0404,4,4,1,B02,Low N,G10,6.622,10.357,13.016
Wheat_2026_Field_A,P0405,4,5,1,B02,High N,G03,7.681,10.816,13.017
Wheat_2026_Field_A,P0406,4,6,1,B02,Low N,G08,6.923,10.638,13.044
Wheat_2026_Field_A,P0407,4,7,1,B02,High N,G01,8.229,10.577,12.859
Wheat_2026_Field_A,P0408,4,8,1,B02,Low N,G06,7.545,10.386,13.024
Wheat_2026_Field_A,P0409,4,9,2,B02,Control,G12,7.46,10.365,12.933
Wheat_2026_Field_A,P0410,4,10,2,B02,Standard N,G05,7.618,10.946,12.849
Wheat_2026_Field_A,P0411,4,11,2,B02,Control,G10,5.627,10.418,12.535
Wheat_2026_Field_A,P0412,4,12,2,B02,Standard N,G03,6.479,10.807,12.618
Wheat_2026_Field_A,P0413,4,13,2,B02,Control,G08,5.73,10.49,12.11
Wheat_2026_Field_A,P0414,4,14,2,B02,Standard N,G01,6.963,11.087,12.541
Wheat_2026_Field_A,P0415,4,15,2,B02,Control,G06,6.408,10.588,12.502
Wheat_2026_Field_A,P0416,4,16,2,B02,Standard N,G11,5.822,10.962,12.672
Wheat_2026_Field_A,P0417,4,17,3,B02,Low N,G05,6.725,11.063,12.554
Wheat_2026_Field_A,P0418,4,18,3,B02,High N,G10,6.448,11.465,12.541
Wheat_2026_Field_A,P0419,4,19,3,B02,Low N,G03,5.765,10.635,12.721
Wheat_2026_Field_A,P0420,4,20,3,B02,High N,G08,7.072,10.793,13.105
Wheat_2026_Field_A,P0421,4,21,3,B02,Low N,G01,5.905,10.805,12.935
Wheat_2026_Field_A,P0422,4,22,3,B02,High N,G06,8.18,10.677,12.708
Wheat_2026_Field_A,P0423,4,23,3,B02,Low N,G11,6.993,10.539,12.914
Wheat_2026_Field_A,P0424,4,24,3,B02,High N,G04,8.136,11.082,12.948
Wheat_2026_Field_A,P0501,5,1,1,B02,Control,G10,4.705,10.677,12.292
Wheat_2026_Field_A,P0502,5,2,1,B02,Standard N,G03,6.691,10.964,13.139
Wheat_2026_Field_A,P0503,5,3,1,B02,Control,G08,5.659,10.797,13.224
Wheat_2026_Field_A,P0504,5,4,1,B02,Standard N,G01,7.206,10.622,13.043
Wheat_2026_Field_A,P0505,5,5,1,B02,Control,G06,6.978,10.688,12.873
Wheat_2026_Field_A,P0506,5,6,1,B02,Standard N,G11,7.173,10.683,13.373
Wheat_2026_Field_A,P0507,5,7,1,B02,Control,G04,7.139,10.537,13.166
Wheat_2026_Field_A,P0508,5,8,1,B02,Standard N,G09,8.512,10.848,13.135
Wheat_2026_Field_A,P0509,5,9,2,B02,Low N,G03,6.566,10.349,13.536
Wheat_2026_Field_A,P0510,5,10,2,B02,High N,G08,8.144,10.999,12.858
Wheat_2026_Field_A,P0511,5,11,2,B02,Low N,G01,6.48,10.545,12.467
Wheat_2026_Field_A,P0512,5,12,2,B02,High N,G06,7.122,10.696,12.822
Wheat_2026_Field_A,P0513,5,13,2,B02,Low N,G11,6.553,10.877,12.629
Wheat_2026_Field_A,P0514,5,14,2,B02,High N,G04,6.913,11.314,12.77
Wheat_2026_Field_A,P0515,5,15,2,B02,Low N,G09,5.855,10.872,12.219
Wheat_2026_Field_A,P0516,5,16,2,B02,High N,G02,6.82,10.944,12.381
Wheat_2026_Field_A,P0517,5,17,3,B02,Standard N,G08,6.702,11.054,12.587
Wheat_2026_Field_A,P0518,5,18,3,B02,Control,G01,5.679,10.843,12.862
Wheat_2026_Field_A,P0519,5,19,3,B02,Standard N,G06,7.247,10.79,12.6
Wheat_2026_Field_A,P0520,5,20,3,B02,Control,G11,5.723,10.167,12.866
Wheat_2026_Field_A,P0521,5,21,3,B02,Standard N,G04,6.873,10.921,12.542
Wheat_2026_Field_A,P0522,5,22,3,B02,Control,G09,5.955,10.395,13.045
Wheat_2026_Field_A,P0523,5,23,3,B02,Standard N,G02,8.261,10.479,12.825
Wheat_2026_Field_A,P0524,5,24,3,B02,Control,G07,6.811,10.481,12.292
Wheat_2026_Field_A,P0601,6,1,1,B02,Low N,G01,5.994,10.936,12.89
Wheat_2026_Field_A,P0602,6,2,1,B02,High N,G06,7.391,10.842,12.998
Wheat_2026_Field_A,P0603,6,3,1,B02,Low N,G11,6.555,10.606,12.935
Wheat_2026_Field_A,P0604,6,4,1,B02,High N,G04,7.491,10.897,13.212
Wheat_2026_Field_A,P0605,6,5,1,B02,Low N,G09,6.46,10.933,13.251
Wheat_2026_Field_A,P0606,6,6,1,B02,High N,G02,8.554,10.995,12.857
Wheat_2026_Field_A,P0607,6,7,1,B02,Low N,G07,7.409,10.682,13.236
Wheat_2026_Field_A,P0608,6,8,1,B02,High N,G12,7.74,10.346,13.565
Wheat_2026_Field_A,P0609,6,9,2,B02,Standard N,G06,8.043,10.862,13.128
Wheat_2026_Field_A,P0610,6,10,2,B02,Control,G11,6.893,10.175,12.969
Wheat_2026_Field_A,P0611,6,11,2,B02,Standard N,G04,6.185,10.876,12.844
Wheat_2026_Field_A,P0612,6,12,2,B02,Control,G09,5.631,10.926,12.666
Wheat_2026_Field_A,P0613,6,13,2,B02,Standard N,G02,6.982,10.894,12.912
Wheat_2026_Field_A,P0614,6,14,2,B02,Control,G07,6.448,10.85,12.823
Wheat_2026_Field_A,P0615,6,15,2,B02,Standard N,G12,5.959,10.972,12.759
Wheat_2026_Field_A,P0616,6,16,2,B02,Control,G05,6.021,10.45,12.438
Wheat_2026_Field_A,P0617,6,17,3,B02,High N,G11,6.214,11.294,12.796
Wheat_2026_Field_A,P0618,6,18,3,B02,Low N,G04,6.107,10.736,12.696
Wheat_2026_Field_A,P0619,6,19,3,B02,High N,G09,6.622,11.232,12.747
Wheat_2026_Field_A,P0620,6,20,3,B02,Low N,G02,6.565,10.902,12.5
Wheat_2026_Field_A,P0621,6,21,3,B02,High N,G07,7.012,10.899,12.805
Wheat_2026_Field_A,P0622,6,22,3,B02,Low N,G12,6.659,10.821,12.782
Wheat_2026_Field_A,P0623,6,23,3,B02,High N,G05,7.897,10.755,13.048
Wheat_2026_Field_A,P0624,6,24,3,B02,Low N,G10,5.938,10.712,12.789
Wheat_2026_Field_A,P0701,7,1,1,B03,Standard N,G04,6.249,10.895,13.083
Wheat_2026_Field_A,P0702,7,2,1,B03,Control,G09,4.892,10.774,12.916
Wheat_2026_Field_A,P0703,7,3,1,B03,Standard N,G02,6.676,10.697,13.388
Wheat_2026_Field_A,P0704,7,4,1,B03,Control,G07,6.849,10.649,13.449
Wheat_2026_Field_A,P0705,7,5,1,B03,Standard N,G12,7.366,10.68,12.852
Wheat_2026_Field_A,P0706,7,6,1,B03,Control,G05,7.501,10.407,13.277
Wheat_2026_Field_A,P0707,7,7,1,B03,Standard N,G10,7.532,10.891,12.905
Wheat_2026_Field_A,P0708,7,8,1,B03,Control,G03,6.445,10.756,13.491
Wheat_2026_Field_A,P0709,7,9,2,B03,High N,G09,7.804,10.841,13.209
Wheat_2026_Field_A,P0710,7,10,2,B03,Low N,G02,6.686,10.771,13.271
Wheat_2026_Field_A,P0711,7,11,2,B03,High N,G07,6.889,10.801,12.488
Wheat_2026_Field_A,P0712,7,12,2,B03,Low N,G12,5.518,10.998,12.785
Wheat_2026_Field_A,P0713,7,13,2,B03,High N,G05,6.903,11.124,13.161
Wheat_2026_Field_A,P0714,7,14,2,B03,Low N,G10,5.204,10.89,12.66
Wheat_2026_Field_A,P0715,7,15,2,B03,High N,G03,6.347,10.893,12.578
Wheat_2026_Field_A,P0716,7,16,2,B03,Low N,G08,6.039,10.784,12.74
Wheat_2026_Field_A,P0717,7,17,3,B03,Control,G02,5.568,10.673,12.729
Wheat_2026_Field_A,P0718,7,18,3,B03,Standard N,G07,6.219,11.023,12.68
Wheat_2026_Field_A,P0719,7,19,3,B03,Control,G12,5.032,10.755,12.936
Wheat_2026_Field_A,P0720,7,20,3,B03,Standard N,G05,6.963,10.6,12.63
Wheat_2026_Field_A,P0721,7,21,3,B03,Control,G10,5.763,10.429,13.104
Wheat_2026_Field_A,P0722,7,22,3,B03,Standard N,G03,6.978,10.942,12.619
Wheat_2026_Field_A,P0723,7,23,3,B03,Control,G08,6.212,10.422,13.045
Wheat_2026_Field_A,P0724,7,24,3,B03,Standard N,G01,7.744,10.968,12.231
Wheat_2026_Field_A,P0801,8,1,1,B03,High N,G07,5.55,10.972,12.933
Wheat_2026_Field_A,P0802,8,2,1,B03,Low N,G12,5.931,10.465,12.645
Wheat_2026_Field_A,P0803,8,3,1,B03,High N,G05,7.12,10.941,12.953
Wheat_2026_Field_A,P0804,8,4,1,B03,Low N,G10,6.669,10.653,12.934
Wheat_2026_Field_A,P0805,8,5,1,B03,High N,G03,7.075,10.993,13.072
Wheat_2026_Field_A,P0806,8,6,1,B03,Low N,G08,6.862,10.619,12.939
Wheat_2026_Field_A,P0807,8,7,1,B03,High N,G01,7.657,10.596,12.99
Wheat_2026_Field_A,P0808,8,8,1,B03,Low N,G06,7.416,10.648,13.005
Wheat_2026_Field_A,P0809,8,9,2,B03,Control,G12,6.435,10.601,13.291
Wheat_2026_Field_A,P0810,8,10,2,B03,Standard N,G05,7.767,10.893,12.653
Wheat_2026_Field_A,P0811,8,11,2,B03,Control,G10,5.197,10.704,12.707
Wheat_2026_Field_A,P0812,8,12,2,B03,Standard N,G03,6.503,10.851,12.185
Wheat_2026_Field_A,P0813,8,13,2,B03,Control,G08,5.133,10.734,12.462
Wheat_2026_Field_A,P0814,8,14,2,B03,Standard N,G01,6.293,10.718,12.564
Wheat_2026_Field_A,P0815,8,15,2,B03,Control,G06,5.618,10.772,12.685
Wheat_2026_Field_A,P0816,8,16,2,B03,Standard N,G11,6.788,11.079,12.406
Wheat_2026_Field_A,P0817,8,17,3,B03,Low N,G05,6.193,10.613,12.47
Wheat_2026_Field_A,P0818,8,18,3,B03,High N,G10,5.562,11.339,12.348
Wheat_2026_Field_A,P0819,8,19,3,B03,Low N,G03,5.688,10.735,12.724
Wheat_2026_Field_A,P0820,8,20,3,B03,High N,G08,6.55,10.961,13.024
Wheat_2026_Field_A,P0821,8,21,3,B03,Low N,G01,6.365,10.844,13.06
Wheat_2026_Field_A,P0822,8,22,3,B03,High N,G06,7.535,10.789,12.728
Wheat_2026_Field_A,P0823,8,23,3,B03,Low N,G11,5.857,10.894,13.113
Wheat_2026_Field_A,P0824,8,24,3,B03,High N,G04,6.912,10.933,12.953
Wheat_2026_Field_A,P0901,9,1,1,B03,Control,G10,4.794,10.362,12.546
Wheat_2026_Field_A,P0902,9,2,1,B03,Standard N,G03,6.497,10.822,13.022
Wheat_2026_Field_A,P0903,9,3,1,B03,Control,G08,5.513,10.738,12.995
Wheat_2026_Field_A,P0904,9,4,1,B03,Standard N,G01,6.481,10.997,12.677
Wheat_2026_Field_A,P0905,9,5,1,B03,Control,G06,6.595,10.669,13.007
